
2024/10/04 (20:16:08) | ===> btop++ v.1.3.0
2024/10/04 (20:16:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (20:16:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/04 (20:58:01) | ===> btop++ v.1.3.0
2024/10/04 (20:58:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (20:58:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/04 (21:02:30) | ===> btop++ v.1.3.0
2024/10/04 (21:02:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (21:02:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/19 (22:01:48) | ===> btop++ v.1.3.0
2024/10/19 (22:01:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (22:01:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/15 (18:29:47) | ===> btop++ v.1.3.0
2024/11/15 (18:29:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/15 (18:29:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/08 (09:58:34) | ===> btop++ v.1.3.0
2024/12/08 (09:58:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/08 (09:58:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/11 (16:32:14) | ===> btop++ v.1.3.0
2025/01/11 (16:32:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (16:32:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/11 (16:33:09) | ===> btop++ v.1.3.0
2025/01/11 (16:33:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (16:33:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/11 (17:32:56) | ===> btop++ v.1.3.0
2025/01/11 (17:32:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (17:32:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/11 (17:33:26) | ===> btop++ v.1.3.0
2025/01/11 (17:33:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (17:33:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/11 (17:34:15) | ===> btop++ v.1.3.0
2025/01/11 (17:34:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (17:34:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/14 (21:17:40) | ===> btop++ v.1.3.0
2025/01/14 (21:17:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/14 (21:17:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/18 (12:05:30) | ===> btop++ v.1.3.0
2025/01/18 (12:05:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/18 (12:05:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/26 (14:51:09) | ===> btop++ v.1.3.0
2025/01/26 (14:51:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/26 (14:51:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/01 (17:29:37) | ===> btop++ v.1.3.0
2025/02/01 (17:29:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (17:29:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/04 (21:59:11) | ===> btop++ v.1.3.0
2025/02/04 (21:59:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (21:59:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/06 (21:56:21) | ===> btop++ v.1.3.0
2025/02/06 (21:56:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
